"variant","epoch","train_loss","validation_loss","run_tag"
"calibrated_lr3e4","11","4.831517129001355","4.685928737785597","dicos-p6"
"calibrated_lr3e4","12","4.795407894524416","4.693404924817176","dicos-p6"
"calibrated_lr3e4","13","4.765904070746934","4.741021142697090","dicos-p6"
"calibrated_lr3e4","14","4.739519663482522","4.638182813566217","dicos-p6"
"calibrated_lr3e4","15","4.681802860541147","4.605497817867497","dicos-p6"
"calibrated_lr3e4","16","4.667999249469705","4.637054794180271","dicos-p6"
"calibrated_lr3e4","17","4.790148210385804","4.713293533548604","dicos-p7"
"calibrated_lr3e4","18","4.747605490152541","4.712746816009589","dicos-p7"
"calibrated_lr3e4","19","4.732024536708843","4.650437357485033","dicos-p7"
"calibrated_lr3e4","20","4.696765990683913","4.615801194750897","dicos-p7"
"calibrated_lr3e4","21","4.645003553981149","4.599586556631510","dicos-p7"
"calibrated_lr3e4","22","4.642334981520272","4.597151546143159","dicos-p7"
"calibrated_lr3e4","23","4.636789331141694","4.600281582395294","dicos-c-02"
"calibrated_lr3e4","24","4.640160892362768","4.6417672822625535","dicos-c-02"
"calibrated_lr3e4","25","4.681245760362052","4.652392664207023","dicos-c-02"
"calibrated_lr3e4","26","4.6987154842739525","4.612053353475791","dicos-c-02"
"calibrated_lr3e4","27","4.709640965634755","4.695695149601815","dicos-c-02"
"calibrated_lr3e4","28","4.73186166823273","4.589875928828517","dicos-c-02"
"calibrated_lr3e4","29","4.697787215748912","4.656522127056541","dicos-c-02"
"calibrated_lr3e4","30","4.689196313854163","4.629730904957561","dicos-c-02"
"calibrated_lr3e4","31","4.672193654786635","4.61005589029974","dicos-c-02"
"calibrated_lr3e4","32","4.64902872541667","4.593310179507925","dicos-c-02"
"calibrated_lr3e4","33","4.617969834646019","4.577270117895146","dicos-c-02"
"calibrated_lr3e4","34","4.611164564158913","4.5503306071196254","dicos-c-02"
"calibrated_lr3e4","35","4.612032213322827","4.565918353082146","dicos-e-02"
"calibrated_lr3e4","36","4.643268755488711","4.605922007106932","dicos-e-02"
"calibrated_lr3e4","37","4.643115281843779","4.613094226158555","dicos-e-02"
"calibrated_lr3e4","38","4.649646790521436","4.636541593825311","dicos-e-02"
"calibrated_lr3e4","39","4.664237914387375","4.592349507623675","dicos-e-02"
"calibrated_lr3e4","40","4.677962140454508","4.642563539228537","dicos-e-02"
"calibrated_lr3e4","41","4.686711438099275","4.608301985839799","dicos-e-02"
"calibrated_lr3e4","42","4.643085925085254","4.595666770530131","dicos-e-02"
"calibrated_lr3e4","43","4.6605840795395315","4.630858301592781","dicos-e-02"
"calibrated_lr3e4","44","4.609834313258304","4.574197300705693","dicos-e-02"
"calibrated_lr3e4","45","4.598884793909815","4.519304749208174","dicos-e-02"
"calibrated_lr3e4","46","4.610079626631893","4.567222798725871","dicos-e-02"
"calibrated_lr3e4","47","4.592700687861534","4.512720740207991","dicos-e-02"
"calibrated_lr3e4","48","4.635682200482764","4.611502546517078","dicos-f-01"
"calibrated_lr3e4","49","4.648228508786143","4.582848271374123","dicos-f-01"
"calibrated_lr3e4","50","4.643971579983504","4.60513866139715","dicos-f-01"
"calibrated_lr3e4","51","4.637053434500051","4.606705951830304","dicos-f-01"
"calibrated_lr3e4","52","4.638592804824282","4.623743385032888","dicos-f-01"
"calibrated_lr3e4","53","4.6448529081514405","4.5817236715319565","dicos-f-01"
"calibrated_lr3e4","54","4.6279460664318846","4.622287049649575","dicos-f-01"
"calibrated_lr3e4","55","4.640386911939871","4.583166093463255","dicos-f-01"
"calibrated_lr3e4","56","4.624259587421808","4.558351908386364","dicos-f-01"
"calibrated_lr3e4","57","4.63300526580054","4.609971974988633","dicos-f-01"
"calibrated_lr3e4","58","4.608364549767522","4.585021249371776","dicos-f-01"
"calibrated_lr3e4","59","4.595943088490656","4.549404907366193","dicos-f-01"
"calibrated_lr3e4","60","4.603833814502327","4.575404162986387","dicos-f-01"
"calibrated_lr3e4","61","4.587814491397496","4.581548269112672","dicos-f-01"
"calibrated_lr3e4","62","4.571472105690829","4.549253493416536","dicos-f-01"
"calibrated_lr3e4","63","4.578286317922469","4.545518631467359","dicos-f-01"
"calibrated_lr3e4","64","4.594536078951502","4.532959142157134","dicos-f-01"
"calibrated_lr3e4","65","4.565728171064641","4.551259695349117","dicos-f-01"
"calibrated_lr3e4","66","4.570590097463048","4.555495895019911","dicos-f-01"
"calibrated_lr3e4","67","4.565098863371272","4.524041725636227","dicos-f-01"
"calibrated_lr3e4","68","4.553412089617585","4.542905560698726","dicos-f-01"
"calibrated_lr3e4","69","4.568288076130797","4.596612767977735","dicos-f-01"
"calibrated_lr3e4","70","4.571763657760534","4.497628535219028","dicos-f-01"
"calibrated_lr3e4","71","4.624876026637602","4.58473074418734","dicos-f-02"
"calibrated_lr3e4","72","4.621365326225207","4.586453666100565","dicos-f-02"
"calibrated_lr3e4","73","4.651398615174017","4.56307790499306","dicos-f-02"
"calibrated_lr3e4","74","4.613528286252764","4.57518478857127","dicos-f-02"
"calibrated_lr3e4","75","4.628512076867279","4.573667878462316","dicos-f-02"
"calibrated_lr3e4","76","4.617489955971739","4.580347328898149","dicos-f-02"
"calibrated_lr3e4","77","4.626247953019863","4.538143857855399","dicos-f-02"
"calibrated_lr3e4","78","4.611061556048562","4.565776083863846","dicos-f-02"
"calibrated_lr3e4","79","4.59820235036154","4.559368578267132","dicos-f-02"
"calibrated_lr3e4","80","4.6004799660030775","4.572310594653664","dicos-f-02"
"calibrated_lr3e4","81","4.581790872702385","4.571049874907532","dicos-f-02"
"calibrated_lr3e4","82","4.577545858488068","4.580630165591596","dicos-f-02"
"calibrated_lr3e4","83","4.5791517917116344","4.5172115059932185","dicos-f-02"
"calibrated_lr3e4","84","4.5683173177369625","4.592615389370115","dicos-f-02"
"calibrated_lr3e4","85","4.564614933945452","4.533378506125678","dicos-f-02"
"calibrated_lr3e4","86","4.563769267705316","4.581168356262922","dicos-f-02"
"calibrated_lr3e4","87","4.541795497223255","4.533249191099868","dicos-f-02"
"calibrated_lr3e4","88","4.545612335366281","4.586429701368072","dicos-f-02"
"calibrated_lr3e4","89","4.543891746395473","4.544476180614176","dicos-f-02"
"calibrated_lr3e4","90","4.540492426739208","4.483767619419238","dicos-f-02"
"calibrated_lr3e4","91","4.60843479783787","4.635110016274068","dicos-f-03"
"calibrated_lr3e4","92","4.598525819892359","4.580002446125751","dicos-f-03"
"calibrated_lr3e4","93","4.577600322383359","4.563393998460225","dicos-f-03"
"calibrated_lr3e4","94","4.590112875731432","4.563022857878254","dicos-f-03"
"calibrated_lr3e4","95","4.594581302823799","4.580401994473414","dicos-f-03"
"calibrated_lr3e4","96","4.581265108795458","4.504827555590807","dicos-f-03"
"calibrated_lr3e4","97","4.5551155717732374","4.57991972988905","dicos-f-03"
"calibrated_lr3e4","98","4.584573563622386","4.592009856795148","dicos-f-03"
"calibrated_lr3e4","99","4.563634061533937","4.571399175230615","dicos-f-03"
"calibrated_lr3e4","100","4.559577267852914","4.492158559195992","dicos-f-03"
"calibrated_lr3e4","101","4.542830167494837","4.551942408172138","dicos-f-03"
"calibrated_lr3e4","102","4.545917582345326","4.584971871592464","dicos-f-03"
"calibrated_lr3e4","103","4.546379753187591","4.5943105974797795","dicos-f-03"
"calibrated_lr3e4","104","4.546083171490697","4.545301156721213","dicos-f-03"
"calibrated_lr3e4","105","4.514267260705347","4.512669913416202","dicos-f-03"
"calibrated_lr3e4","106","4.5329357650813575","4.607815881773807","dicos-f-03"
"calibrated_lr3e4","107","4.548143752340747","4.547661898600409","dicos-f-03"
"calibrated_lr3e4","108","4.525672363380551","4.542108355643634","dicos-f-03"
"calibrated_lr3e4","109","4.513979021804892","4.545793371703231","dicos-f-03"
"calibrated_lr3e4","110","4.509999554679016","4.55335308203411","dicos-f-03"
"calibrated_lr3e4","111","4.507712773328862","4.491971432726345","dicos-f-03"
"calibrated_lr3e4","112","4.505175803786117","4.508600151905378","dicos-f-03"
"calibrated_lr3e4","113","4.498016401645109","4.534416634376716","dicos-f-03"
"calibrated_lr3e4","114","4.501324567328387","4.588262041351631","dicos-f-03"
